,review_id,user_id,business_id,stars,useful,funny,cool,text,date,AFINN score,Review Length (words),AFINN score (abs),Normalised AFINN score,Normalised (abs),SQRT Normailzed,SQRT Normalised (abs)
4177277,7OGJcQcbxTWzE1z1_UrmMw,I3f0Ww0Fh5-ixwxMQ5L1Cg,iSRTaT9WngzB8JJ2YKJUig,5.0,0,0,0,"A visit to New Orleans is not complete without a stop at Mother's. I think breakfast is the best and you need to get there early, things do sell out. Be prepared for a line and although it looks like there's not much seating, there's much more in the back - so don't worry about it. Go for something with Debris! It'll be clear when you're looking at the menu - trust me on this one!",2015-11-06 01:44:28,4.0,383,4.0,0.05263157894736842,0.05263157894736842,0.2043904521230384,0.2043904521230384
4177487,Mx0TaJzAU6HJHzEZQjXWfA,wgtJ6oS_VIZT_yVz3N5w3Q,iSRTaT9WngzB8JJ2YKJUig,4.0,0,0,0,"The Ferdi was only amazing because of the debris... But it was amazing... The ham and roast beef was okay, kinda thinly sliced for the money charged.. I realize it is a tourist hot spot so there's a markup,but still.",2012-12-04 22:34:30,5.0,216,5.0,0.125,0.125,0.34020690871988585,0.34020690871988585
4177714,MdOQyLBT5ro3yCvtMiI-nQ,9BzlclzAH_XdTOijPQZaOw,iSRTaT9WngzB8JJ2YKJUig,5.0,0,0,0,"This is a regular stop for me when I am in new Orleans. On the way in I stop and get the ""ferdi special"" which is an awesome sandwhiches that comes with a side of ""debris""

The desserts are awesome but way over priced so skip the brownies and other goodies.",2016-06-12 00:55:19,6.0,257,6.0,0.12,0.12,0.3742697169310832,0.3742697169310832
4177784,oYzqWxH6tDMSVQTNHCoOAA,9jWSprR9OJL4WW1P5iGToQ,iSRTaT9WngzB8JJ2YKJUig,1.0,1,0,0,This place gave my fiancé food poisoning today. The food was really mediocre prior to the massive amount of vomiting it caused. Avoid at all costs.,2016-01-04 02:48:37,-4.0,147,4.0,-0.15384615384615385,0.15384615384615385,-0.329914439536929,0.329914439536929
4177849,2uG8E1o4KTUDn47RB9JaVA,_KNqLK8xC4xBOCz3Q7MOag,iSRTaT9WngzB8JJ2YKJUig,5.0,0,0,0,"I tried the spaghetti and meatballs. It was a great dish! Huge meal! I highly recommend getting the fried eggplant appetizer, they are beyond good.",2018-06-08 22:29:13,9.0,147,9.0,0.36,0.36,0.7423074889580903,0.7423074889580903
4177855,gr5PaMQ0di1TFn9H_1dZ4Q,0WqEkKMu03irkMiEtsFxZg,iSRTaT9WngzB8JJ2YKJUig,4.0,0,0,0,"There was a line when I went in, but it moves really fast. I was in a rush to grab food for lunch, so I was glad that my order also took less than 5 minutes. I got the Ferdi with the debris, and while the sandwich by itself wasn't that impressive, the debris (roast beef and gravy) REALLY made it. It was nice and piping hot with the gravy soaked into the delicious bread and I couldn't even take a breath--I wolfed over half the sandwich down in minutes. It's a pricy sandwich but it's also large, so at the end of a night along Bourbon St at 2AM back at the hotel.... It was the most magical midnight snack I could have (although I was lucky enough to have a microwave in my hotel room... May not have been as great if I couldn't heat up the gravy). I almost didn't even want to share it with my roomie, that's how great it was.",2015-02-02 07:14:47,23.0,830,23.0,0.13855421686746988,0.13855421686746988,0.7983416546757168,0.7983416546757168
4177916,n_HtgqKc1kgPxEzVjm_4Nw,bjOAdFRT9pEJzOMTs_p0sA,iSRTaT9WngzB8JJ2YKJUig,3.0,0,0,0,Had the famous Ferdi sandwhich that was made famous on man vs food. It is definitely for meat lovers. I asked the waitress for extra gravy and she gave me a bowl of debris which was basically meat and sauce. The sandwhich itself was OK but I think the MvF show may have hyped it up too much. Waitress was very friendly.,2012-08-15 03:54:44,6.0,319,6.0,0.0967741935483871,0.0967741935483871,0.3359355065735126,0.3359355065735126
4177945,OjB-7wzYND1su0jAhWoR5w,s7hLNxUa5VroE8riRNIhog,iSRTaT9WngzB8JJ2YKJUig,2.0,0,0,0,"Meh is right.  I ate lunch there in January when I visited New Orleans and was not impressed.  High prices for average food and a total lack of any ambiance.  What makes their ham any different from any other ham?  This week I was in New Orleans again and had breakfast there.  Again high prices for average food.  Two scrambled eggs, a could small pieces of ham, instant grits and a biscuit  that was warmed over and heavy.  Basically just a tourist trap.  Won't go there again and would not recommend it to anyone!",2011-10-27 19:18:09,5.0,516,5.0,0.04854368932038835,0.04854368932038835,0.22011272658140596,0.22011272658140596
4178104,T8H77_i8YkznIqvpnTo5Hw,V7nH5O-2fdF27tZWkIBJeg,iSRTaT9WngzB8JJ2YKJUig,5.0,2,0,0,"Omg I'm so glad people recommended Mothers to us. My husband wanted breakfast food, and I really didn't. Fortunately this spot serves breakfast all day. There was a long line but it moved along pretty fast. Our waitress was nice and when my husband didn't like his eggs she got him some fresh eggs to replace them. He ordered the breakfast special with turkey sausage. Most places give you some over processed turkey sausage links but these were huge and tasted fresh made. I ordered the quarter fried chicken - and even though the menu said it takes 30 minutes it didn't (thank goodness). The chicken was seasoned just right and crispy. I got cabbage and green beans & tomatoes as my sides and these were so good and well seasoned. Again not too salty but flavorful. Both our meals came with biscuits.",2017-07-18 18:03:23,24.0,802,24.0,0.16783216783216784,0.16783216783216784,0.8474694618557383,0.8474694618557383
4178141,EQ88cLSRYJ8Sl7jgLedPaA,Fq5CvUC1AzK8GSmpyn0UeQ,iSRTaT9WngzB8JJ2YKJUig,1.0,0,0,0,Tourist trap.  Go to Cafe Amelie instead - it's 2 blocks down the street on Poydras.,2015-05-12 18:41:09,-2.0,84,2.0,-0.11764705882352941,0.11764705882352941,-0.2182178902359924,0.2182178902359924
